자치구 기준일,종로구 전체,종로구 추가,중구 전체,중구 추가,용산구 전체,용산구 추가,성동구 전체,성동구 추가,광진구 전체,광진구 추가,동대문구 전체,동대문구 추가,중랑구 전체,중랑구 추가,성북구 전체,성북구 추가,강북구 전체,강북구 추가,도봉구 전체,도봉구 추가,노원구 전체,노원구 추가,은평구 전체,은평구 추가,서대문구 전체,서대문구 추가,마포구 전체,마포구 추가,양천구 전체,양천구 추가,강서구 전체,강서구 추가,구로구 전체,구로구 추가,금천구 전체,금천구 추가,영등포구 전체,영등포구 추가,동작구 전체,동작구 추가,관악구 전체,관악구 추가,서초구 전체,서추구 추가,강남구 전체,강남구 추가,송파구 전체,송파구 추가,강동구 전체,강동구 추가,기타 전체,기타 추가,수집일
2021.06.18.00,791,2,716,2,1300,14,1299,6,1560,7,1758,8,2089,3,1955,11,1368,1,1456,1,2176,14,2023,3,1185,1,1511,8,1637,7,2269,3,1561,5,784,2,1752,10,1962,8,2182,13,2053,13,2849,19,2867,16,1907,9,4323,14,11:40.0
2021.06.17.00,789,1,714,5,1286,13,1293,6,1553,7,1750,9,2085,9,1945,8,1366,2,1456,7,2162,6,2020,2,1184,1,1504,11,1630,4,2266,6,1556,3,782,3,1742,6,1954,8,2169,18,2040,14,2830,30,2851,12,1898,4,4308,6,11:40.0
2021.06.16.00,788,1,709,2,1273,11,1287,10,1546,14,1741,9,2076,6,1937,1,1364,10,1449,4,2156,1,2018,7,1183,4,1493,8,1626,3,2260,5,1553,6,780,3,1736,8,1946,2,2150,12,2026,16,2800,31,2839,14,1894,8,4302,5,11:40.0
2021.06.15.00,786,2,708,2,1262,2,1277,3,1532,2,1732,8,2070,4,1936,1,1354,5,1445,3,2155,6,2010,0,1179,2,1485,5,1623,5,2255,4,1547,2,777,1,1728,3,1944,5,2138,4,2010,8,2769,24,2825,14,1886,11,4299,6,11:40.0
2021.06.14.00,784,3,706,2,1260,9,1274,4,1530,8,1724,7,2066,3,1934,5,1349,2,1442,1,2148,3,2010,5,1177,1,1481,6,1618,2,2251,1,1545,2,776,2,1725,4,1939,2,2134,7,2002,8,2745,17,2811,7,1875,7,4294,4,11:40.0
2021.06.13.00,781,1,704,1,1251,6,1270,4,1522,6,1717,14,2063,3,1929,4,1347,4,1441,4,2145,6,2005,5,1175,10,1475,7,1616,5,2250,1,1543,3,774,5,1721,6,1937,5,2128,3,1994,9,2728,27,2804,19,1868,5,4290,13,11:40.0
2021.06.12.00,780,2,703,2,1245,8,1266,9,1516,10,1703,10,2060,4,1925,5,1343,11,1437,1,2139,11,2000,7,1165,8,1468,7,1611,9,2249,5,1540,3,769,4,1715,4,1932,6,2126,19,1985,12,2701,18,2783,14,1863,5,4278,14,11:40.0
2021.06.11.00,778,4,700,8,1238,14,1257,3,1506,5,1693,10,2056,2,1920,11,1332,13,1436,2,2128,9,1993,8,1157,6,1461,7,1602,11,2244,1,1536,8,765,2,1711,6,1926,2,2107,10,1973,8,2684,24,2769,11,1858,10,4266,9,11:40.0
2021.06.10.00,774,5,692,5,1224,11,1254,6,1501,6,1683,6,2054,6,1909,5,1319,6,1434,4,2119,7,1985,6,1151,8,1454,3,1591,3,2243,9,1528,6,763,2,1705,12,1924,11,2097,5,1965,15,2660,32,2758,15,1848,7,4257,12,11:40.0
2021.06.09.00,769,1,687,2,1213,10,1248,5,1495,4,1677,3,2048,3,1904,2,1313,0,1430,3,2112,5,1979,11,1143,3,1451,10,1588,5,2234,5,1522,4,761,3,1693,16,1913,8,2092,8,1950,11,2628,26,2744,14,1841,6,4244,15,11:40.0
2021.06.08.00,768,1,688,2,1203,9,1243,4,1491,5,1674,2,2044,4,1902,8,1314,3,1426,2,2107,5,1968,4,1140,1,1441,5,1583,5,2229,7,1518,6,758,4,1677,8,1905,4,2084,3,1939,9,2602,14,2730,9,1835,10,4228,5,11:40.0
2021.06.07.00,767,2,687,5,1194,9,1239,4,1486,2,1673,5,2040,5,1894,6,1310,5,1424,1,2102,3,1964,4,1140,3,1436,4,1577,4,2222,4,1512,4,754,4,1669,8,1901,12,2081,15,1930,8,2588,10,2721,17,1825,9,4222,6,11:40.0
2021.06.06.00,765,1,686,4,1185,4,1236,6,1484,3,1668,4,2035,6,1887,7,1305,3,1423,1,2099,12,1961,8,1137,5,1432,8,1573,5,2218,7,1508,2,750,6,1661,6,1889,13,2066,9,1922,10,2578,18,2704,17,1815,7,4212,7,11:40.0
2021.06.05.00,764,2,682,7,1181,2,1230,7,1481,13,1664,6,2029,10,1880,16,1302,10,1422,3,2087,23,1953,8,1131,3,1424,5,1568,10,2211,2,1506,7,744,2,1655,15,1876,12,2057,7,1913,19,2560,22,2687,26,1808,16,4205,24,11:40.0
2021.06.04.00,762,1,676,2,1179,5,1223,7,1468,12,1658,7,2019,7,1864,9,1292,2,1419,5,2064,8,1945,6,1128,6,1419,9,1558,4,2209,4,1499,3,742,5,1640,3,1864,16,2050,8,1895,7,2538,16,2660,28,1792,20,4180,6,11:40.0
2021.06.03.00,761,2,674,2,1174,8,1216,3,1456,6,1651,7,2012,8,1855,8,1290,10,1414,6,2056,9,1940,4,1122,9,1410,13,1554,8,2205,11,1496,1,737,5,1637,6,1848,10,2042,7,1889,7,2522,20,2632,17,1772,17,4172,11,11:40.0
2021.06.02.00,759,1,673,2,1166,6,1213,9,1450,8,1644,7,2004,25,1848,9,1280,13,1408,11,2047,8,1936,8,1113,8,1397,7,1546,4,2194,5,1495,2,732,9,1631,4,1838,11,2035,6,1882,18,2502,25,2616,17,1755,14,4158,21,11:40.0
2021.06.01.00,758,0,671,1,1160,0,1204,2,1442,5,1637,3,1979,6,1840,13,1267,16,1397,7,2039,11,1928,5,1105,5,1390,3,1542,3,2189,6,1493,4,723,4,1627,3,1827,3,2029,2,1864,8,2477,20,2599,8,1741,4,4136,5,11:40.0
2021.05.31.00,758,0,670,1,1160,2,1202,7,1436,2,1634,5,1973,12,1827,4,1251,7,1390,2,2028,8,1923,0,1100,3,1387,8,1539,5,2183,6,1489,2,719,8,1624,5,1824,4,2028,4,1856,3,2457,14,2591,10,1737,7,4131,1,11:40.0
2021.05.30.00,758,3,669,0,1158,4,1195,5,1434,6,1629,7,1961,4,1823,11,1244,6,1388,5,2020,12,1923,2,1097,13,1379,5,1534,5,2177,6,1487,5,711,5,1619,1,1820,4,2024,5,1853,5,2443,16,2581,16,1730,6,4130,3,11:40.0
2021.05.29.00,755,1,669,2,1154,15,1190,6,1428,10,1622,3,1957,13,1812,6,1238,4,1383,5,2008,10,1921,2,1084,7,1374,10,1529,1,2171,3,1482,6,706,4,1618,6,1816,3,2019,3,1848,12,2427,15,2565,28,1724,7,4127,12,11:40.0
2021.05.28.00,754,2,667,7,1139,10,1184,7,1418,3,1620,8,1944,7,1806,5,1234,8,1378,6,1998,12,1919,9,1076,9,1364,8,1528,8,2168,9,1477,13,702,7,1612,10,1813,4,2016,4,1836,10,2411,14,2537,15,1717,6,4115,13,11:40.0
2021.05.27.00,752,4,660,0,1129,6,1177,8,1415,7,1612,4,1937,13,1801,7,1226,6,1373,2,1986,11,1910,9,1067,11,1356,9,1520,4,2159,4,1464,5,695,2,1602,8,1809,6,2012,7,1826,17,2397,19,2521,22,1711,16,4102,11,11:40.0
2021.05.26.00,748,5,660,4,1123,12,1170,11,1408,11,1608,1,1924,13,1794,10,1220,14,1371,8,1975,14,1901,3,1056,15,1347,5,1516,5,2155,7,1459,8,693,8,1594,16,1803,7,2005,9,1809,21,2378,17,2499,17,1695,17,4090,4,11:40.0
2021.05.25.00,743,0,656,1,1111,7,1159,3,1397,0,1607,4,1911,10,1784,9,1206,4,1363,5,1961,7,1898,6,1041,5,1342,3,1512,0,2148,2,1451,6,685,10,1578,2,1796,3,1996,2,1789,9,2361,10,2480,14,1679,14,4085,2,11:40.0
2021.05.24.00,743,1,655,2,1104,2,1156,7,1397,8,1603,8,1901,5,1775,4,1202,3,1358,3,1954,10,1892,3,1036,5,1339,1,1512,1,2146,2,1445,2,675,1,1576,5,1793,9,1994,5,1780,3,2351,12,2466,16,1665,13,4083,8,11:40.0
2021.05.23.00,742,3,653,2,1102,5,1149,2,1388,11,1595,2,1896,6,1771,8,1199,6,1355,2,1944,12,1889,7,1031,6,1338,6,1511,1,2144,4,1443,6,674,6,1571,7,1784,10,1989,9,1777,4,2339,9,2450,26,1653,17,4075,4,11:40.0
